,source,disaster_type,report_dat,tags,Desa,Kecamatan,Kabupaten,Provinsi,long,lat,datetime
3375,grasp,earthquake,"{ ""points"": 20, ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": ""3171"", ""local_area_id"": ""2503"", ""instance_region_code"": ""ID-JK"" }",Pejaten Timur,Pasar Minggu,Jakarta Selatan,Daerah Khusus Ibukota Jakarta,106.84926999999999,-6.2899199999999995,2021-02-20 04:49:04
3602,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 4, ""condition"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-ST"" }",Lamadong 1,Momunu,Buol,Sulawesi Tengah,121.39939,1.12906,2021-02-22 19:49:40
3604,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": ""3171"", ""local_area_id"": ""2503"", ""instance_region_code"": ""ID-JK"" }",Pejaten Timur,Pasar Minggu,Jakarta Selatan,Daerah Khusus Ibukota Jakarta,106.84925,-6.2899,2021-02-23 04:55:39
3605,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 4, ""condition"": 2 }","{ ""district_id"": ""3171"", ""local_area_id"": ""2503"", ""instance_region_code"": ""ID-JK"" }",Pejaten Timur,Pasar Minggu,Jakarta Selatan,Daerah Khusus Ibukota Jakarta,106.84925,-6.2899199999999995,2021-02-23 04:58:28
3609,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 3, ""condition"": 1 }","{ ""district_id"": ""3173"", ""local_area_id"": ""509"", ""instance_region_code"": ""ID-JK"" }",Gambir,Gambir,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.82916999999999,-6.18198,2021-02-23 07:51:57
3649,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 2 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Candi Mulyo,Jombang,Jombang,Jawa Timur,112.23806,-7.53638,2021-10-03 03:03:35
3680,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 0, ""condition"": 2 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BE"" }",Meranti Jaya,Ujan Mas,Kepahiang,Bengkulu,102.53559,-3.5169300000000003,2021-01-04 03:24:26
3713,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 4, ""condition"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-YO"" }",Bangunjiwo,Kasihan,Bantul,Daerah Istimewa Yogyakarta,110.33511000000001,-7.84218,2021-10-04 07:04:32
3714,grasp,earthquake,"{ ""points"": 1, ""condition"": 0, ""report_type"": ""road"", ""accessabilityFailure"": 4 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Dinoyo,Lowokwaru,Malang,Jawa Timur,112.6057,-7.9366,2021-10-04 07:06:06
3715,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 4, ""condition"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Sidomulyo,Batu,Batu,Jawa Timur,112.52741999999999,-7.85076,2021-10-04 07:06:32
