,source,disaster_type,Desa,Kecamatan,Kabupaten,Provinsi,long,lat,datetime,report_type,structureFailure,condition,points,accessabilityFailure
32,grasp,earthquake,Pejaten Timur,Pasar Minggu,Jakarta Selatan,Daerah Khusus Ibukota Jakarta,106.84925,-6.2899,2021-02-23 04:55:39,structure,1,-1,-1,-1
33,grasp,earthquake,Pejaten Timur,Pasar Minggu,Jakarta Selatan,Daerah Khusus Ibukota Jakarta,106.84925,-6.2899199999999995,2021-02-23 04:58:28,road,-1,2,-1,4
34,grasp,earthquake,Gambir,Gambir,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.82916999999999,-6.18198,2021-02-23 07:51:57,road,-1,1,-1,3
35,grasp,earthquake,Candi Mulyo,Jombang,Jombang,Jawa Timur,112.23806,-7.53638,2021-10-03 03:03:35,structure,2,-1,-1,-1
36,grasp,earthquake,Meranti Jaya,Ujan Mas,Kepahiang,Bengkulu,102.53559,-3.5169300000000003,2021-01-04 03:24:26,road,-1,2,-1,0
37,grasp,earthquake,Bangunjiwo,Kasihan,Bantul,Daerah Istimewa Yogyakarta,110.33511000000001,-7.84218,2021-10-04 07:04:32,road,-1,0,-1,4
38,grasp,earthquake,Dinoyo,Lowokwaru,Malang,Jawa Timur,112.6057,-7.9366,2021-10-04 07:06:06,road,-1,0,1,4
39,grasp,earthquake,Sidomulyo,Batu,Batu,Jawa Timur,112.52741999999999,-7.85076,2021-10-04 07:06:32,road,-1,0,-1,4
40,grasp,earthquake,Sukoharjo,Klojen,Malang,Jawa Timur,112.63093,-7.98901,2021-10-04 07:11:40,road,-1,0,-1,4
41,grasp,earthquake,Mulyoagung,Dau,Malang,Jawa Timur,112.58176,-7.91362,2021-10-04 07:14:35,structure,0,-1,1,-1
42,grasp,earthquake,Kapas,Sukomoro,Nganjuk,Jawa Timur,111.94648000000001,-7.6150199999999995,2021-10-04 07:22:27,structure,0,-1,0,-1
43,grasp,earthquake,Mangun Dikaran,Nganjuk,Nganjuk,Jawa Timur,111.91161000000001,-7.59727,2021-10-04 07:23:38,road,-1,0,-1,0
44,grasp,earthquake,Majangtengah,Dampit,Malang,Jawa Timur,112.7254,-8.19565,2021-10-04 07:33:27,structure,1,-1,1,-1
45,grasp,earthquake,Sumber Suko,Purwosari,Pasuruan,Jawa Timur,112.71437,-7.74855,2021-10-04 07:42:09,road,-1,0,-1,4
