,Location,loc,point,lat,lon,altitude
196,"TANA TORAJA,SULAWESI SELATAN","Tana Toraja, Sulawesi Selatan, 91817, Indonesia","(-3.1169403, 119.6937644, 0.0)",-3.1169403,119.6937644,0.0
197,"KUDUS,JAWA TENGAH","Kudus, Jawa Tengah, Indonesia","(-6.8170915, 110.838189, 0.0)",-6.8170915,110.838189,0.0
198,"TABALONG,KALIMANTAN SELATAN","Tabalong, Kalimantan Selatan, Indonesia","(-1.8311413, 115.51783421937628, 0.0)",-1.8311413,115.51783421937628,0.0
199,"SERANG,BANTEN","Serang, Banten, Indonesia","(-6.10549695, 105.9884713457985, 0.0)",-6.10549695,105.9884713457985,0.0
200,"BANJAR,KALIMANTAN SELATAN","Banjarmasin, Kalimantan Selatan, Indonesia","(-3.3187496, 114.5925828, 0.0)",-3.3187496,114.5925828,0.0
201,"LUWU UTARA,SULAWESI SELATAN","Luwu Utara, Sulawesi Selatan, Indonesia","(-2.5951257, 120.2562544, 0.0)",-2.5951257,120.2562544,0.0
202,"HULU SUNGAI SELATAN,KALIMANTAN SELATAN","Hulu Sungai Selatan, Kalimantan Selatan, Indonesia","(-2.71258085, 115.15877705354862, 0.0)",-2.71258085,115.15877705354862,0.0
203,"KOTA SERANG,BANTEN","Gedung Bersama Pemerintah Kota Serang, Sumurpecung, Serang, Banten, Indonesia","(-6.1198729, 106.17372743877546, 0.0)",-6.1198729,106.17372743877546,0.0
204,"BANDUNG,JAWA BARAT","Jawa Barat, Cibiru, Cipadung Kidul, Panyileukan, Bandung, Jawa Barat, 40624, Indonesia","(-6.9342173, 107.7222573, 0.0)",-6.9342173,107.7222573,0.0
205,"SUKABUMI,JAWA BARAT","Sukabumi, Jawa Barat, 43111, Indonesia","(-6.9199289, 106.9265095, 0.0)",-6.9199289,106.9265095,0.0
206,"SUMEDANG,JAWA BARAT","Sumedang, Jawa Barat, 45321, Indonesia","(-6.8592431, 107.9206982, 0.0)",-6.8592431,107.9206982,0.0
207,"MADIUN,JAWA TIMUR","Madiun, Jawa Timur, Indonesia","(-7.61188765, 111.67319262808837, 0.0)",-7.61188765,111.67319262808837,0.0
208,"BANDUNG,JAWA BARAT","Jawa Barat, Cibiru, Cipadung Kidul, Panyileukan, Bandung, Jawa Barat, 40624, Indonesia","(-6.9342173, 107.7222573, 0.0)",-6.9342173,107.7222573,0.0
209,"GARUT,JAWA BARAT","Garut, Jawa Barat, 44117, Indonesia","(-7.2162543, 107.9014912, 0.0)",-7.2162543,107.9014912,0.0
210,"BLORA,JAWA TENGAH","Blora, Jawa Tengah, 58211 - 58219, Indonesia","(-7.11054465, 111.42035148693856, 0.0)",-7.11054465,111.42035148693856,0.0
211,"KARAWANG,JAWA BARAT","Karawang, Jawa Barat, 41312, Indonesia","(-6.3042012, 107.307897, 0.0)",-6.3042012,107.307897,0.0
212,"KENDAL,JAWA TENGAH","Kendal, Jawa Tengah, Indonesia","(-7.01909655, 110.13747567422602, 0.0)",-7.01909655,110.13747567422602,0.0
213,"HULU SUNGAI UTARA,KALIMANTAN SELATAN","Hulu Sungai Utara, Kalimantan Selatan, Indonesia","(-2.4262495, 115.15572903679265, 0.0)",-2.4262495,115.15572903679265,0.0
